method,n_snap,MAE_dFres,RMSE_dFres,R2_dFres,protocol_comparable_to_piml
enriched_d2,2500,0.0066672145184128355,0.010030525596962261,0.9951700631347475,False
enriched_d3,2500,0.006188855385006472,0.008723958559597466,0.9963463977951633,False
piml,2500,0.0020474330552576374,0.004203766328562303,0.9991516575339797,True
response_only,2500,0.006824863906346272,0.008974863644784652,0.996133217085922,False
temp_only,2500,0.008365260108553074,0.010828287453879133,0.9943712284151857,False
