model,MAE_eVatom,RMSE_eVatom,R2,Npairs,Nviol,Nconcordant,Nref_ties_excluded,Npred_ties_as_fail,f_viol,kendall_tau_pairwise
Backbone Ridge,0.001097797823618644,0.0018155619323010931,0.9994023022299815,105,1,104,0,0,0.009523809523809525,0.9809523809523809
Monolithic Ridge,0.0014213678562711015,0.0021786663439248084,0.9991393215120765,105,1,104,0,0,0.009523809523809525,0.9809523809523809
