evaluation_protocol,method,n_snapshots,MAE_absF,RMSE_absF,R2_absF,MAE_dFres,RMSE_dFres,R2_dFres,f_viol_snapshot_pairs,tau_snapshot_pairs,n_snapshot_pairs
Ti_grouped_OOF,response_only_ti_trained,1500,0.057813409102837006,0.09050879492420028,-0.48539194448434064,0.057813409102837,0.09050879492420023,0.6145633153005774,0.2981457142857143,0.3901496051664187,1050000
Ti_grouped_OOF,temp_only_ti_trained,1500,0.0030867703589152733,0.004581443489309672,0.9961940404579459,0.0030867703589150673,0.004581443489309484,0.9990124112134602,0.012752380952380953,0.9417658164502989,1050000
external_no_retraining,response_only_ti_trained,1000,0.08070241466949761,0.16124665367118618,-0.8045545583016627,0.08070241466949747,0.16124665367118607,-0.2882194798406663,0.31126,0.35828816023665333,450000
external_no_retraining,temp_only_ti_trained,1000,0.008876596977528767,0.01285062709050264,0.9885386113903226,0.008876596977528812,0.01285062709050272,0.9918180450654226,0.01416,0.9222778413127882,450000
