stage,stage_label,n_snap,MAE_F,RMSE_F,R2_F
backbone_ridge,F0+Cs+g(T)+r(delta_x),2500,0.0020474330552576513,0.004203766328562302,0.9999613692792854
gauge_aligned,F0+Cs,2500,0.19940442623113103,0.24613981307039207,0.8675599277399415
minimal_baseline,F0,2500,0.41100106532057046,0.4356560726189701,0.5851002049867471
thermal_backbone,F0+Cs+g(T),2500,0.005420935349388676,0.00886179993764849,0.9998283279636693
