seed,selected_model,blend_weight,MAE_abs,f_viol,tau,score
0,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
1,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
2,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
3,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
4,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
5,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
6,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
7,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
8,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
9,backbone_ridge,,0.0012009750082738108,0.012584761904761904,0.9748304761904761,0.9519116813456862
