T,FANC_mean,F0_mean,Fhat_mean,n_snap,system
300,-3.5616,-3.34995249088371,-3.5616,100,Cu
400,-3.599,-3.2894171070740215,-3.596147755059434,100,Cu
500,-3.6431,-3.230326629203383,-3.6361701290706123,100,Cu
600,-3.6927,-3.172472910850713,-3.6814332520335564,100,Cu
700,-3.7469,-3.115988245430569,-3.7321229697430356,100,Cu
