timestep,natoms,U_eVatom,PE_eVatom,KE_eVatom,SLE_mean,SLE_std,SLE_q25,SLE_q50,SLE_q75,SLE_iqr,Voro_mean,Voro_q25,Voro_q50,Voro_q75,Voro_iqr,q6_mean,q6_std,q6_q25,q6_q50,q6_q75,q6_iqr,q6knn_mean,vMises_mean,vMises_q25,vMises_q50,vMises_q75,vMises_iqr,system,T,snap,FANC_eVatom,TSLE_eVatom,F0_eVatom,dFraw_eVatom,dFraw_T0_mean,dFres_eVatom
301000,80256,-4.720680729413028,-4.759789115829347,0.039108386416318155,-4.828965747109251,0.09341403447536273,-4.89312,-4.831785,-4.76713,0.12598999999999982,17.49416883722089,17.237475,17.5096,17.7662,0.5287250000000014,0.2932780003592898,0.011394946935247416,0.2855049967765808,0.29344208538532257,0.3013061434030533,0.015801146626472473,0.2933392851588211,71711.94920004482,51727.99393689357,68611.35241585554,88467.47192530737,36739.477988413804,alpha-TiAl,300,0,-4.80882399,-0.1248384214608697,-4.595842307952159,-0.21298168204784051,-0.2125885662818252,-0.0003931157660153062
302000,80256,-4.721129657079715,-4.759851316786284,0.038721659706568975,-4.8263603409090905,0.09465491828413465,-4.89097,-4.829135,-4.7638775,0.12709249999999983,17.492293968052234,17.235975,17.5085,17.7644,0.5284249999999986,0.29345754528008966,0.011372904461346861,0.28569822758436203,0.29355135560035706,0.30148995667696,0.01579172909259796,0.29359286087041536,71671.6876708884,51535.55614618653,68570.23888779795,88479.96979651443,36944.4136503279,alpha-TiAl,300,1,-4.80882399,-0.1247710665003407,-4.596358590579375,-0.21246539942062448,-0.2125885662818252,0.00012316686120072973
303000,80256,-4.721112876171806,-4.75982850004984,0.03871562387803445,-4.827256262709329,0.094167836564652,-4.89251,-4.830135,-4.76537,0.1271399999999998,17.497057140899123,17.2427,17.51215,17.7678,0.5251000000000019,0.2933818934842917,0.011398034749656241,0.2855653241276741,0.29343733191490173,0.3014439344406128,0.01587861031293869,0.29346254026254365,71556.29464077241,51771.44008801943,68514.28891187653,88173.67389330559,36402.23380528616,alpha-TiAl,300,2,-4.80882399,-0.12479422787052874,-4.596318648301278,-0.21250534169872193,-0.2125885662818252,8.322458310328074e-05
304000,80256,-4.720791197170794,-4.759752539872408,0.03896134270161484,-4.830515218176833,0.09457167854090728,-4.8959,-4.83328,-4.76784,0.1280600000000005,17.49551314917265,17.2411,17.51,17.7658,0.5246999999999993,0.2933347407963121,0.011341214718451245,0.2855015844106674,0.2934722602367401,0.30136531591415405,0.015863731503486633,0.2933283687873329,71598.78503473385,51641.66043851495,68487.29381815146,88487.02185218639,36845.36141367144,alpha-TiAl,300,3,-4.80882399,-0.12487847838657724,-4.595912718784216,-0.21291127121578324,-0.2125885662818252,-0.000322704933958029
305000,80256,-4.720997841468708,-4.759784477048446,0.03878663557973735,-4.8273394956140345,0.09508145436482114,-4.8925,-4.82963,-4.7650075,0.1274924999999998,17.500016028708135,17.245,17.5149,17.7747,0.5296999999999983,0.2933824453993063,0.011362971773010263,0.2856114059686661,0.2935504615306854,0.301384761929512,0.015773355960845947,0.2932904225447701,71680.84572171472,51634.64691324736,68675.1878578582,88469.71641671611,36835.06950346875,alpha-TiAl,300,4,-4.80882399,-0.12479637960756337,-4.596201461861145,-0.21262252813885496,-0.2125885662818252,-3.396185702975174e-05
306000,80256,-4.721215136337455,-4.759956490605064,0.038741354267608656,-4.830701040296052,0.09432856171336627,-4.89513,-4.83346,-4.7683275,0.12680250000000015,17.495132625598085,17.2392,17.5111,17.7662,0.527000000000001,0.29329378032953624,0.011364001652799964,0.2854943126440048,0.2934592217206955,0.3013325110077858,0.015838198363780975,0.29325450305731154,71594.15356279016,51656.058301775374,68661.34700620263,88280.79836434507,36624.7400625697,alpha-TiAl,300,5,-4.80882399,-0.12488328225996352,-4.596331854077492,-0.21249213592250804,-0.2125885662818252,9.643035931716781e-05
307000,80256,-4.721096433547121,-4.7598720205342895,0.03877558698716943,-4.827435052830941,0.09516498167480393,-4.8934825,-4.83053,-4.76493,0.1285525000000005,17.49324480537281,17.2402,17.5085,17.7653,0.5250999999999983,0.2933060965048479,0.011384148816457813,0.28550026565790176,0.2934338301420212,0.3013767898082733,0.01587652415037155,0.2933493973436636,71693.22906041576,51676.42148383068,68587.3753608296,88450.586989765,36774.16550593432,alpha-TiAl,300,6,-4.80882399,-0.1247988499527144,-4.596297583594406,-0.21252640640559317,-0.2125885662818252,6.215987623203745e-05
308000,80256,-4.7212789735674265,-4.760008141696571,0.03872916812914549,-4.831173538800837,0.09607096265616828,-4.89718,-4.834395,-4.7681575,0.1290224999999996,17.49615186652711,17.2408,17.5115,17.7666,0.5258000000000003,0.2933436380082851,0.011353759607981156,0.2855319604277611,0.2934616953134537,0.301441952586174,0.015909992158412933,0.29331934592924996,71496.67728460298,51607.58524448035,68430.2730939606,88234.64248681317,36627.05724233282,alpha-TiAl,300,7,-4.80882399,-0.12489549729120812,-4.596383476276219,-0.2124405137237808,-0.2125885662818252,0.0001480525580443981
309000,80256,-4.721182200573171,-4.7598100561951755,0.03862785562200458,-4.82918997844398,0.09508982245569128,-4.8950724999999995,-4.83202,-4.7669675,0.1281049999999997,17.49606731334729,17.243,17.5123,17.7651,0.5221000000000018,0.2932473666376644,0.011355536785478708,0.2854277715086937,0.29334938526153564,0.3013147711753845,0.015886999666690826,0.2933157514609943,71539.9481456951,51469.41663810199,68400.42336769296,88393.19856346706,36923.78192536507,alpha-TiAl,300,8,-4.80882399,-0.12484421828928711,-4.596337982283884,-0.21248600771611592,-0.2125885662818252,0.00010255856570928756
310000,80256,-4.721358623314821,-4.7599077406050645,0.03854911729024372,-4.830489814468699,0.0958273125176678,-4.89628,-4.8334,-4.76763,0.12865000000000038,17.49730165595096,17.2409,17.5133,17.7681,0.5272000000000006,0.2933698228435618,0.011387920178536902,0.28558867424726486,0.2934487760066986,0.30141665786504745,0.015827983617782593,0.29341038062268393,71555.921753488,51617.72444455152,68586.65770122185,88328.76716907918,36711.04272452766,alpha-TiAl,300,9,-4.80882399,-0.12487782164991999,-4.5964808016649,-0.21234318833509924,-0.2125885662818252,0.00024537794672596647
