snapshot_path,system,temperature,snapshot_index,group,domain,dFres_eVatom,ghat_eVatom,dFcorr_eVatom,target,timestep,natoms,U_eVatom,PE_eVatom,KE_eVatom,SLE_mean,SLE_std,SLE_q25,SLE_q50,SLE_q75,SLE_iqr,Voro_mean,Voro_q25,Voro_q50,Voro_q75,Voro_iqr,q6_mean,q6_std,q6_q25,q6_q50,q6_q75,q6_iqr,q6knn_mean,vMises_mean,vMises_q25,vMises_q50,vMises_q75,vMises_iqr,FANC_eVatom,TSLE_eVatom,F0_eVatom,dFraw_eVatom,dFraw_T0_mean
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00000.extxyz,alpha-TiAl,300,0,alpha-TiAl__300,Ti-domain,-0.0003931157660153,2.355027531709854e-05,-0.00041666604133239855,-0.00041666604133239855,301000,80256,-4.720680729413028,-4.759789115829347,0.0391083864163181,-4.828965747109251,0.0934140344753627,-4.89312,-4.831785,-4.76713,0.1259899999999998,17.49416883722089,17.237475,17.5096,17.7662,0.5287250000000014,0.2932780003592898,0.0113949469352474,0.2855049967765808,0.2934420853853225,0.3013061434030533,0.0158011466264724,0.2933392851588211,71711.94920004482,51727.99393689357,68611.35241585554,88467.47192530737,36739.47798841381,-4.80882399,-0.1248384214608697,-4.595842307952159,-0.2129816820478405,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00001.extxyz,alpha-TiAl,300,1,alpha-TiAl__300,Ti-domain,0.0001231668612007,2.355027531709854e-05,9.961658588360146e-05,9.961658588360146e-05,302000,80256,-4.721129657079715,-4.759851316786284,0.0387216597065689,-4.8263603409090905,0.0946549182841346,-4.89097,-4.829135,-4.7638775,0.1270924999999998,17.492293968052234,17.235975,17.5085,17.7644,0.5284249999999986,0.2934575452800896,0.0113729044613468,0.285698227584362,0.293551355600357,0.30148995667696,0.0157917290925979,0.2935928608704153,71671.6876708884,51535.55614618653,68570.23888779795,88479.96979651443,36944.4136503279,-4.80882399,-0.1247710665003407,-4.596358590579375,-0.2124653994206244,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00002.extxyz,alpha-TiAl,300,2,alpha-TiAl__300,Ti-domain,8.322458310328074e-05,2.355027531709854e-05,5.96743077861822e-05,5.96743077861822e-05,303000,80256,-4.721112876171806,-4.75982850004984,0.0387156238780344,-4.827256262709329,0.094167836564652,-4.89251,-4.830135,-4.76537,0.1271399999999998,17.497057140899123,17.2427,17.51215,17.7678,0.5251000000000019,0.2933818934842917,0.0113980347496562,0.2855653241276741,0.2934373319149017,0.3014439344406128,0.0158786103129386,0.2934625402625436,71556.29464077241,51771.44008801943,68514.28891187653,88173.67389330559,36402.23380528616,-4.80882399,-0.1247942278705287,-4.596318648301278,-0.2125053416987219,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00003.extxyz,alpha-TiAl,300,3,alpha-TiAl__300,Ti-domain,-0.000322704933958,2.355027531709854e-05,-0.00034625520927509856,-0.00034625520927509856,304000,80256,-4.720791197170794,-4.759752539872408,0.0389613427016148,-4.830515218176833,0.0945716785409072,-4.8959,-4.83328,-4.76784,0.1280600000000005,17.49551314917265,17.2411,17.51,17.7658,0.5246999999999993,0.2933347407963121,0.0113412147184512,0.2855015844106674,0.2934722602367401,0.301365315914154,0.0158637315034866,0.2933283687873329,71598.78503473385,51641.66043851495,68487.29381815146,88487.02185218639,36845.36141367144,-4.80882399,-0.1248784783865772,-4.595912718784216,-0.2129112712157832,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00004.extxyz,alpha-TiAl,300,4,alpha-TiAl__300,Ti-domain,-3.396185702975174e-05,2.355027531709854e-05,-5.751213234685028e-05,-5.751213234685028e-05,305000,80256,-4.720997841468708,-4.759784477048446,0.0387866355797373,-4.8273394956140345,0.0950814543648211,-4.8925,-4.82963,-4.7650075,0.1274924999999998,17.500016028708135,17.245,17.5149,17.7747,0.5296999999999983,0.2933824453993063,0.0113629717730102,0.2856114059686661,0.2935504615306854,0.301384761929512,0.0157733559608459,0.2932904225447701,71680.84572171472,51634.64691324736,68675.1878578582,88469.71641671611,36835.06950346875,-4.80882399,-0.1247963796075633,-4.596201461861145,-0.2126225281388549,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00005.extxyz,alpha-TiAl,300,5,alpha-TiAl__300,Ti-domain,9.64303593171678e-05,2.355027531709854e-05,7.288008400006926e-05,7.288008400006926e-05,306000,80256,-4.721215136337455,-4.759956490605064,0.0387413542676086,-4.830701040296052,0.0943285617133662,-4.89513,-4.83346,-4.7683275,0.1268025000000001,17.495132625598085,17.2392,17.5111,17.7662,0.527000000000001,0.2932937803295362,0.0113640016527999,0.2854943126440048,0.2934592217206955,0.3013325110077858,0.0158381983637809,0.2932545030573115,71594.15356279016,51656.058301775374,68661.34700620263,88280.79836434507,36624.7400625697,-4.80882399,-0.1248832822599635,-4.596331854077492,-0.212492135922508,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00006.extxyz,alpha-TiAl,300,6,alpha-TiAl__300,Ti-domain,6.215987623203745e-05,2.355027531709854e-05,3.860960091493891e-05,3.860960091493891e-05,307000,80256,-4.721096433547121,-4.7598720205342895,0.0387755869871694,-4.827435052830941,0.0951649816748039,-4.8934825,-4.83053,-4.76493,0.1285525000000005,17.49324480537281,17.2402,17.5085,17.7653,0.5250999999999983,0.2933060965048479,0.0113841488164578,0.2855002656579017,0.2934338301420212,0.3013767898082733,0.0158765241503715,0.2933493973436636,71693.22906041576,51676.42148383068,68587.3753608296,88450.586989765,36774.16550593432,-4.80882399,-0.1247988499527144,-4.596297583594406,-0.2125264064055931,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00007.extxyz,alpha-TiAl,300,7,alpha-TiAl__300,Ti-domain,0.0001480525580443,2.355027531709854e-05,0.00012450228272720145,0.00012450228272720145,308000,80256,-4.7212789735674265,-4.760008141696571,0.0387291681291454,-4.831173538800837,0.0960709626561682,-4.89718,-4.834395,-4.7681575,0.1290224999999996,17.49615186652711,17.2408,17.5115,17.7666,0.5258000000000003,0.2933436380082851,0.0113537596079811,0.2855319604277611,0.2934616953134537,0.301441952586174,0.0159099921584129,0.2933193459292499,71496.67728460298,51607.58524448035,68430.2730939606,88234.64248681317,36627.05724233282,-4.80882399,-0.1248954972912081,-4.596383476276219,-0.2124405137237808,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00008.extxyz,alpha-TiAl,300,8,alpha-TiAl__300,Ti-domain,0.0001025585657092,2.355027531709854e-05,7.900829039210146e-05,7.900829039210146e-05,309000,80256,-4.721182200573171,-4.7598100561951755,0.0386278556220045,-4.82918997844398,0.0950898224556912,-4.8950724999999995,-4.83202,-4.7669675,0.1281049999999997,17.49606731334729,17.243,17.5123,17.7651,0.5221000000000018,0.2932473666376644,0.0113555367854787,0.2854277715086937,0.2933493852615356,0.3013147711753845,0.0158869996666908,0.2933157514609943,71539.9481456951,51469.41663810199,68400.42336769296,88393.19856346706,36923.78192536507,-4.80882399,-0.1248442182892871,-4.596337982283884,-0.2124860077161159,-0.2125885662818252
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/alpha-TiAl_300K_snap00009.extxyz,alpha-TiAl,300,9,alpha-TiAl__300,Ti-domain,0.0002453779467259,2.355027531709854e-05,0.00022182767140880146,0.00022182767140880146,310000,80256,-4.721358623314821,-4.7599077406050645,0.0385491172902437,-4.830489814468699,0.0958273125176678,-4.89628,-4.8334,-4.76763,0.1286500000000003,17.49730165595096,17.2409,17.5133,17.7681,0.5272000000000006,0.2933698228435618,0.0113879201785369,0.2855886742472648,0.2934487760066986,0.3014166578650474,0.0158279836177825,0.2934103806226839,71555.921753488,51617.72444455152,68586.65770122185,88328.76716907918,36711.04272452766,-4.80882399,-0.1248778216499199,-4.5964808016649,-0.2123431883350992,-0.2125885662818252
