system,T,stage,stage_label,n_snap,MAE_F,RMSE_F,R2_F
alpha-TiAl,300,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.00018097952661793036,0.00022453063021946659,
alpha-TiAl,300,gauge_aligned,F0+Cs,100,0.00011448793741845264,0.00014197889491672334,
alpha-TiAl,300,minimal_baseline,F0,100,0.2125885662818252,0.21258861369266366,
alpha-TiAl,300,thermal_backbone,F0+Cs+g(T),100,0.00011513930256969118,0.00014391880373772748,
alpha-TiAl,400,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0003421224313079829,0.0004239068769591165,
alpha-TiAl,400,gauge_aligned,F0+Cs,100,0.09634674948592512,0.0963469609079941,
alpha-TiAl,400,minimal_baseline,F0,100,0.3089353157677503,0.30893538170339524,
alpha-TiAl,400,thermal_backbone,F0+Cs+g(T),100,0.0003982117852728795,0.0004445157651863468,
alpha-TiAl,500,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0009889349205078623,0.0010484824783118236,
alpha-TiAl,500,gauge_aligned,F0+Cs,100,0.1975630165489235,0.19756314299371064,
alpha-TiAl,500,minimal_baseline,F0,100,0.4101515828307486,0.4101516437370593,
alpha-TiAl,500,thermal_backbone,F0+Cs+g(T),100,0.0009556654046211932,0.0009814570845071242,
alpha-TiAl,600,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.000834847556263556,0.0009279573163042364,
alpha-TiAl,600,gauge_aligned,F0+Cs,100,0.3023843137527394,0.3023844561834889,
alpha-TiAl,600,minimal_baseline,F0,100,0.5149728800345645,0.514972963667767,
alpha-TiAl,600,thermal_backbone,F0+Cs+g(T),100,0.0004659614296768488,0.0005271673903214391,
alpha-TiAl,700,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0008985981885515048,0.0010106636562900722,
alpha-TiAl,700,gauge_aligned,F0+Cs,100,0.4100727546387865,0.4100728994246379,
alpha-TiAl,700,minimal_baseline,F0,100,0.6226613209206117,0.6226614162737947,
alpha-TiAl,700,thermal_backbone,F0+Cs+g(T),100,0.0018950950105939236,0.0019261699265643796,
beta-TiV,300,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.00017566743300165833,0.0002267979805647066,
beta-TiV,300,gauge_aligned,F0+Cs,100,0.00010831780612596375,0.000139708288936398,
beta-TiV,300,minimal_baseline,F0,100,0.20701719776360122,0.2070172449055874,
beta-TiV,300,thermal_backbone,F0+Cs+g(T),100,0.0001104428587492734,0.00014167929088277945,
beta-TiV,400,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0003876598625211347,0.0004477629577338316,
beta-TiV,400,gauge_aligned,F0+Cs,100,0.09375692230164376,0.09375705064054381,
beta-TiV,400,minimal_baseline,F0,100,0.30077412006524523,0.300774160070907,
beta-TiV,400,thermal_backbone,F0+Cs+g(T),100,0.0021937784971665588,0.002199256563401342,
beta-TiV,500,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.00023851910118144026,0.0002994144157721123,
beta-TiV,500,gauge_aligned,F0+Cs,100,0.1926941798550909,0.19269431634246018,
beta-TiV,500,minimal_baseline,F0,100,0.39971137761869246,0.39971144341699166,
beta-TiV,500,thermal_backbone,F0+Cs+g(T),100,0.0039131712892113415,0.003919886503545971,
beta-TiV,600,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.000367445397525108,0.0004504604723205732,
beta-TiV,600,gauge_aligned,F0+Cs,100,0.2959238762370197,0.2959239858146698,
beta-TiV,600,minimal_baseline,F0,100,0.5029410740006212,0.502941138474669,
beta-TiV,600,thermal_backbone,F0+Cs+g(T),100,0.006022524524138788,0.006027906348124805,
beta-TiV,700,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.00037138379702216005,0.0004612705258554055,
beta-TiV,700,gauge_aligned,F0+Cs,100,0.402744887044233,0.402745002597331,
beta-TiV,700,minimal_baseline,F0,100,0.6097620848078347,0.6097621611300991,
beta-TiV,700,thermal_backbone,F0+Cs+g(T),100,0.00922296260514738,0.009228007155827176,
