target,N,mean_eVatom,std_eVatom,rms_eVatom,mean_abs_eVatom,median_abs_eVatom,iqr_eVatom,min_eVatom,max_eVatom,range_eVatom
"Gauge-fixed residual, DeltaF_res",1500,-0.2012897504156629,0.14583409539872905,0.24853766035400945,0.2013095787894225,0.19755969991168726,0.21320885428500924,-0.4238726951770492,0.0004170134548908,0.42428970863194
"Backbone-removed correction, DeltaF_corr",1500,-5.823489838500488e-15,0.004577920693224111,0.004576394465245964,0.0031170496794741616,0.0018870765089337715,0.0035822701956263747,-0.01190484552768839,0.009984602290796285,0.021889447818484675
