fold,b0_eVatom,b1_eVatom_per_K,b2_eVatom_per_K2,n_train_rows,n_test_rows,n_train_groups,n_test_groups
0,-0.0008206867479050619,-0.0009107482009087133,-3.179024150976706e-07,1000,500,10,5
1,0.0010967594643042022,-0.0009647026231054643,-1.4466554414174646e-07,1000,500,10,5
2,-0.00020542189047007795,-0.0009335407191391093,-2.3979193146536675e-07,1000,500,10,5
