model,MAE_abs(Fhat),f_viol_abs(Fhat),kendall_tau_abs(Fhat),Npairs,score,features,w
gpr,5.554318325705291e-05,0.0,1.0,1050000,0.9998130800262582,T;SLE_mean;SLE_std;SLE_q25;SLE_q50;SLE_q75;SLE_iqr;Voro_mean;Voro_q25;Voro_q50;Voro_q75;Voro_iqr;q6_mean;q6_std;q6_q25;q6_q50;q6_q75;q6_iqr;q6knn_mean;natoms;U_eVatom;TSLE_eVatom;F0_eVatom;timestep;PE_eVatom;KE_eVatom;snap;dFraw_eVatom,
ridge,0.0036190329362611323,0.020633333333333333,0.9587333333333333,1050000,0.9156041692712736,T;SLE_mean;SLE_std;SLE_q25;SLE_q50;SLE_q75;SLE_iqr;Voro_mean;Voro_q25;Voro_q50;Voro_q75;Voro_iqr;q6_mean;q6_std;q6_q25;q6_q50;q6_q75;q6_iqr;q6knn_mean;natoms;U_eVatom;TSLE_eVatom;F0_eVatom;timestep;PE_eVatom;KE_eVatom;snap;dFraw_eVatom,
etr,0.011469541156037247,0.02865142857142857,0.9426971428571429,1050000,0.8611214500790265,T;SLE_mean;SLE_std;SLE_q25;SLE_q50;SLE_q75;SLE_iqr;Voro_mean;Voro_q25;Voro_q50;Voro_q75;Voro_iqr;q6_mean;q6_std;q6_q25;q6_q50;q6_q75;q6_iqr;q6knn_mean;natoms;U_eVatom;TSLE_eVatom;F0_eVatom;timestep;PE_eVatom;KE_eVatom;snap;dFraw_eVatom,
hgbr,0.015559963129934299,0.05714285714285714,0.8857142857142857,1050000,0.7476359162525745,T;SLE_mean;SLE_std;SLE_q25;SLE_q50;SLE_q75;SLE_iqr;Voro_mean;Voro_q25;Voro_q50;Voro_q75;Voro_iqr;q6_mean;q6_std;q6_q25;q6_q50;q6_q75;q6_iqr;q6knn_mean;natoms;U_eVatom;TSLE_eVatom;F0_eVatom;timestep;PE_eVatom;KE_eVatom;snap;dFraw_eVatom,
krr,0.09488371487988005,0.4527161904761905,0.09456761904761905,1050000,-0.903819685003996,T;SLE_mean;SLE_std;SLE_q25;SLE_q50;SLE_q75;SLE_iqr;Voro_mean;Voro_q25;Voro_q50;Voro_q75;Voro_iqr;q6_mean;q6_std;q6_q25;q6_q50;q6_q75;q6_iqr;q6knn_mean;natoms;U_eVatom;TSLE_eVatom;F0_eVatom;timestep;PE_eVatom;KE_eVatom;snap;dFraw_eVatom,
