snapshot_path,system,temperature,snapshot_index,timestep,natoms,SLE_mean,SLE_std,SLE_q25,SLE_q50,SLE_q75,SLE_iqr,Voro_mean,Voro_q25,Voro_q50,Voro_q75,Voro_iqr,q6_mean,q6_std,q6_q25,q6_q50,q6_q75,q6_iqr,q6knn_mean,TSLE_eVatom,d_SLE_mean_anchor,d_SLE_std_anchor,d_SLE_q25_anchor,d_SLE_q50_anchor,d_SLE_q75_anchor,d_SLE_iqr_anchor,d_Voro_mean_anchor,d_Voro_q25_anchor,d_Voro_q50_anchor,d_Voro_q75_anchor,d_Voro_iqr_anchor,d_q6_mean_anchor,d_q6_std_anchor,d_q6_q25_anchor,d_q6_q50_anchor,d_q6_q75_anchor,d_q6_iqr_anchor,d_q6knn_mean_anchor
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00049.extxyz,Al,500,49,350000,78732,-4.312181766626023,0.1812899952338775,-4.437365,-4.31625,-4.19133,0.246035,16.96277096479195,16.629775,16.952,17.2861,0.6563250000000025,0.3317982004817721,0.0141861096368663,0.3241655230522156,0.3331388384103775,0.3403602987527847,0.0161947757005691,0.3319815048440796,-0.1857975368466817,0.517517782252451,0.04061639896929897,0.48994682500000053,0.5183741499999996,0.5461471500000004,0.056200325000000106,0.16950938920642145,0.08747225000000114,0.16458350000000266,0.24818100000000243,0.1607087500000023,-0.0071725382752724776,0.004367608491381488,-0.009554604440927483,-0.00609014034271238,-0.0033755274862051765,0.006179076954722399,-0.007105036297851808
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00050.extxyz,Al,500,50,351000,78732,-4.3096305392978715,0.1831661657818211,-4.4353325,-4.314435,-4.1878675,0.247465,16.95003034344358,16.6127,16.939950000000003,17.2741,0.6614000000000004,0.3317742888044306,0.014273046213254,0.3240463361144066,0.3331364095211029,0.3403358981013298,0.0162895619869232,0.332023304264105,-0.1856876129661127,0.5200690095806024,0.04249256951724256,0.49197932499999997,0.5201891500000002,0.5496096499999998,0.05763032500000009,0.1567687678580505,0.07039725000000274,0.1525335000000041,0.23618100000000197,0.16578375000000023,-0.007196449952613981,0.0044545450677691886,-0.009673791378736474,-0.006092569231986977,-0.0033999281376600465,0.006273863241076498,-0.007063236877826451
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00051.extxyz,Al,500,51,352000,78732,-4.318473577198597,0.1811587362863433,-4.44287,-4.321575,-4.1975050000000005,0.2453649999999996,16.952023284052224,16.6208,16.9413,17.2713,0.650500000000001,0.331922202868211,0.0141571137406547,0.3243075013160705,0.3332493156194687,0.3403962627053261,0.0160887613892555,0.3322340894619369,-0.1860686299893079,0.5112259716798766,0.04048514002176476,0.4844418250000002,0.5130491499999996,0.5399721499999997,0.055530324999999714,0.15876170846669524,0.07849725000000163,0.15388349999999917,0.2333810000000014,0.15488375000000076,-0.007048535888833585,0.004338612595169888,-0.009412626177072558,-0.005979663133621194,-0.0033395635336637697,0.006073062643408797,-0.006852451679994542
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00052.extxyz,Al,500,52,353000,78732,-4.311235403647819,0.1822117346540398,-4.43744,-4.31451,-4.18865,0.2487899999999996,16.958648897525784,16.6222,16.9481,17.2834,0.6612000000000009,0.3318127410850958,0.0141298688011169,0.3241134509444237,0.333144336938858,0.3403330072760582,0.0162195563316345,0.3319887092487193,-0.1857567612208317,0.5184641452306549,0.04153813838946127,0.4898718250000007,0.5201141499999995,0.5488271500000002,0.0589553249999997,0.16538732194025485,0.07989725000000192,0.1606835000000011,0.24548100000000161,0.1655837500000007,-0.007157997671948801,0.0043113676556320885,-0.009606676548719384,-0.006084641814231906,-0.003402818962931653,0.006203857585787799,-0.007097831893212114
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00053.extxyz,Al,500,53,354000,78732,-4.309525330996292,0.1814626861751816,-4.4340525,-4.313815,-4.18818,0.2458724999999999,16.964920518975767,16.6307,16.953249999999997,17.287325,0.6566249999999982,0.3317440608340792,0.0142545797268605,0.3240855932235718,0.3331629335880279,0.3403439372777939,0.0162583440542221,0.3320191047916487,-0.1856830798911295,0.5201742178821815,0.040789089910603066,0.49325932500000036,0.5208091499999998,0.5492971500000001,0.05603782500000001,0.1716589433902378,0.08839725000000342,0.16583349999999797,0.24940600000000046,0.16100874999999804,-0.0072266779229653855,0.0044360785813756885,-0.009634534269571282,-0.006066045165061984,-0.0033918889611959657,0.006242645308375398,-0.00706743635028273
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00054.extxyz,Al,500,54,355000,78732,-4.309783972209521,0.1817871165578849,-4.4363225,-4.31452,-4.1892175,0.2471050000000003,16.969424226489863,16.6315,16.9611,17.2955,0.6640000000000015,0.3318210917842532,0.0142700388267807,0.3241184428334236,0.3331580013036728,0.3403188064694404,0.0162003636360168,0.3321240888799205,-0.1856942238787779,0.5199155766689527,0.041113520293306366,0.49098932500000014,0.5201041499999999,0.5482596500000003,0.0572703250000004,0.17616265090433458,0.08919725000000156,0.1736834999999992,0.25758100000000184,0.16838375000000128,-0.0071496469727914125,0.004451537681295888,-0.009601684659719445,-0.006070977449417092,-0.0034170197695494453,0.0061846648901700985,-0.006962452262010921
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00055.extxyz,Al,500,55,356000,78732,-4.311940364908804,0.1823973830459571,-4.43747,-4.315995,-4.1905875,0.2468824999999999,16.963678857389624,16.6291,16.953,17.2903,0.6611999999999973,0.3318661428716953,0.0141727594942433,0.3242114707827568,0.3331829905509949,0.3404199257493019,0.0162084549665451,0.3320622410900977,-0.1857871356514452,0.5177591839696696,0.04172378678137856,0.48984182500000006,0.5186291499999998,0.5468896499999998,0.057047824999999996,0.1704172818040952,0.0867972500000036,0.16558350000000033,0.25238099999999974,0.16558374999999714,-0.007104595885349285,0.004354258348758489,-0.009508656710386254,-0.0060459882020950095,-0.0033159004896879396,0.0061927562206983994,-0.007024300051833743
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00056.extxyz,Al,500,56,357000,78732,-4.315300755220241,0.1808531603953037,-4.43987,-4.319295,-4.1956875,0.2441824999999999,16.957736763958746,16.620475,16.9471,17.281,0.6605249999999998,0.331866422595138,0.0141979734935957,0.3242819905281067,0.333213523030281,0.3404053449630737,0.016123354434967,0.3320958392783263,-0.1859319236674655,0.5143987936582333,0.040179564130725154,0.48744182500000033,0.5153291499999995,0.5417896500000001,0.054347825000000016,0.16447518837321695,0.0781722500000015,0.15968349999999987,0.2430810000000001,0.1649087499999996,-0.007104316161906599,0.004379472348110888,-0.00943813696503637,-0.006015455722808871,-0.003330481275916175,0.006107655689120297,-0.00699070186360512
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00057.extxyz,Al,500,57,358000,78732,-4.3133951463191575,0.1820003252963832,-4.43796,-4.3185,-4.19326,0.2446999999999999,16.95879556089011,16.6243,16.9491,17.28,0.6556999999999995,0.3318270104438307,0.014179875199985,0.3241840898990631,0.3331986218690872,0.3403381183743477,0.0161540284752845,0.3320562426491596,-0.1858498173326271,0.5163044025593164,0.04132672903180465,0.48935182499999996,0.5161241499999996,0.5442171499999997,0.05486532499999999,0.16553398530458097,0.08199725000000413,0.1616835000000023,0.24208100000000243,0.1600837499999993,-0.00714372831321386,0.0043613740545001885,-0.009536037594079949,-0.006030356884002663,-0.0033977078646421632,0.006138329729437798,-0.007030298492771814
/Users/yti0811/Desktop/FE_data/npj_CM01/NPJ_CM_Fig_Python/Public_Reproducibility_Package_V01/npjcm-free-energy-surrogate_Re3/Python_Codes/table/snapshots_split/Al_500K_snap00058.extxyz,Al,500,58,359000,78732,-4.3106374014377895,0.1804845677593146,-4.434912499999999,-4.31569,-4.19111,0.2438024999999992,16.95824043082863,16.6264,16.9482,17.278,0.6515999999999984,0.3317884011415076,0.0141971313310583,0.3241477608680725,0.3331318646669388,0.340319000184536,0.0161712393164634,0.3319430330097569,-0.1857309952991555,0.5190621474406845,0.03981097149473606,0.49239932500000094,0.5189341499999998,0.54636715,0.0539678249999993,0.16497885524310263,0.08409725000000279,0.16078350000000086,0.240081,0.1559837499999982,-0.007182337615536993,0.0043786301855734885,-0.00957236662507055,-0.006097114086151101,-0.0034168260544538698,0.006155540570616699,-0.007143508132174514
