T,FANC_mean,F0_mean,Fhat_mean,n_snap,system
300,-3.3669,-3.157638398434898,-3.3669,100,Al
400,-3.3989999999999996,-3.0990885309621308,-3.3988335540926586,100,Al
500,-3.4378,-3.0437083769826128,-3.437969434926153,100,Al
600,-3.4820000000000007,-2.99095218752821,-3.4838917927308883,100,Al
700,-3.5308000000000006,-2.9404539961858167,-3.536272258706249,100,Al
