descriptor_stack,k,system,T_K,snap,dFcorr_true_meVatom,dFcorr_knn_median_meVatom,abs_representation_mismatch_meVatom,median_cross_state_neighbor_distance,neighbor_target_IQR_meVatom
d1_SLE,10,alpha-TiAl,300.0,0,-0.41666604133239854,-0.03298300513861098,0.3836830361937876,0.012754383802845885,0.13662171777575885
d1_SLE,10,alpha-TiAl,300.0,1,0.09961658588360146,-0.014328326291764297,0.11394491217536575,0.011714381683667115,0.0924891193552907
d1_SLE,10,alpha-TiAl,300.0,2,0.0596743077861822,-0.0200414564926882,0.0797157642788704,0.012497629923468995,0.07219302449128218
d1_SLE,10,alpha-TiAl,300.0,3,-0.34625520927509856,0.04112446685238079,0.38737967612747937,0.009150922620167343,0.1762007984884501
d1_SLE,10,alpha-TiAl,300.0,4,-0.05751213234685028,-0.07932043874388119,0.021808306397030908,0.012035329988188412,0.08670952402267673
d1_SLE,10,alpha-TiAl,300.0,5,0.07288008400006926,0.05282105102692834,0.02005903297314092,0.013740530019232276,0.13356717758454814
d1_SLE,10,alpha-TiAl,300.0,6,0.03860960091493891,-0.08807381180227115,0.12668341271721006,0.010144770429441164,0.0874367511669299
d1_SLE,10,alpha-TiAl,300.0,7,0.12450228272720146,0.07639380216506192,0.04810848056213953,0.0154219507561197,0.29695184710980677
d1_SLE,10,alpha-TiAl,300.0,8,0.07900829039210147,-0.03184218161673859,0.11085047200884005,0.009372665611925828,0.17976692182818202
d1_SLE,10,alpha-TiAl,300.0,9,0.22182767140880147,0.040767062689976416,0.18106060871882504,0.013933568200476316,0.29150057841266974
d1_SLE,10,alpha-TiAl,300.0,10,-0.12556207932819854,-0.03184218161673859,0.09371989771145996,0.008843910569689662,0.17976692182818202
d1_SLE,10,alpha-TiAl,300.0,11,0.00218279333662306,-0.056959302947980364,0.05914209628460342,0.00962918109564816,0.1759330310140878
d1_SLE,10,alpha-TiAl,300.0,12,-0.22975122038869855,-0.06479578196182002,0.16495543842687851,0.0181618883226932,0.0865171308036955
d1_SLE,10,alpha-TiAl,300.0,13,-0.03381435128137102,-0.08674880008947729,0.052934448808106264,0.006711953239838796,0.23052323853796244
d1_SLE,10,alpha-TiAl,300.0,14,0.052492563017523794,-0.0903492615100382,0.142841824527562,0.008050276008569862,0.14660629911464418
d1_SLE,10,alpha-TiAl,300.0,15,-0.09924138379581339,-0.02950699805480296,0.06973438574101043,0.011952277233922415,0.17259400803704503
d1_SLE,10,alpha-TiAl,300.0,16,0.01568095894320774,-0.03184218161673859,0.04752314055994633,0.013196033786200486,0.1685762918707876
d1_SLE,10,alpha-TiAl,300.0,17,-0.13462472523479854,0.04191292226520092,0.17653764749999948,0.020099771673148643,0.08286850998429074
d1_SLE,10,alpha-TiAl,300.0,18,-0.10281518992151407,-0.009366608995932684,0.09344858092558139,0.012150138561119114,0.09796342094577082
d1_SLE,10,alpha-TiAl,300.0,19,-0.13785449462269853,0.012853943309508155,0.15070843793220667,0.016344107761638877,0.09993657473115024
d1_SLE,10,alpha-TiAl,300.0,20,-0.015659589058926743,-0.07944348984607777,0.06378390078715103,0.00990794106218436,0.21129081776976227
d1_SLE,10,alpha-TiAl,300.0,21,-0.24176443917459853,-0.023583611580459424,0.21818082759413912,0.012213816134694626,0.21635548580712965
